actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step
vehicle.mercedes.coupe_2020,vehicle0,18.97439193725586,87.40030156509519,1.0,0.07000000029802322,0.0,6.035935974344217,-3.797696828842163,-4.691483974456787,-409.2941589355469,9.60981273651123,178.66285705566406,0.023000000044703484
vehicle.audi.a2,vehicle1,22.12108039855957,67.47967463431058,1.0,0.0,0.0,3.0060647052047575,3.0060644149780273,0.001320939278230071,-359.7478942871094,26.902435302734375,0.004022920969873667,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.06818771362305,166.71761502527855,1.0,0.0,0.0,3.6282754930009293,3.62827467918396,-0.002430124208331108,-281.3559265136719,37.386131286621094,-0.01080322265625,0.023000000044703484
vehicle.audi.etron,vehicle3,29.9423885345459,131.77776720825443,1.0,0.0,0.0,2.101068975525707,-2.1010689735412598,-9.131769184023142e-05,-427.3816833496094,5.404391765594482,179.99900817871094,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,9.586852073669434,152.19764099386148,1.0,0.0,0.0,20.84667888881272,2.7081966400146484,-20.670019149780273,-463.5753479003906,15.342856407165527,-138.79345703125,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,28.65506935119629,125.6438331380238,1.0,0.0,0.0,0.23160941425338735,0.23153553903102875,0.00584935350343585,-470.08209228515625,15.673253059387207,-179.8214874267578,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,19.062101364135742,87.83872989732245,1.0,0.0,0.0,4.256973108270054,-3.8708395957946777,-1.7715588808059692,-409.73175048828125,9.622596740722656,179.10055541992188,0.023000000044703484
vehicle.audi.a2,vehicle1,22.188833236694336,67.99001779974647,1.0,0.0,0.0,2.9445318574580353,2.9445316791534424,0.001024718047119677,-359.2376403808594,26.902469635009766,0.0040659490041434765,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.15202331542969,167.68711156341777,1.0,0.0,0.0,3.626119198240819,3.6261184215545654,-0.002373333787545562,-280.3874206542969,37.38595199584961,-0.010833739303052425,0.023000000044703484
vehicle.audi.etron,vehicle3,29.990562438964844,132.4675501456913,1.0,0.0,0.0,2.0945174714739805,-2.094517469406128,-9.307151776738465e-05,-428.0710754394531,5.404404640197754,179.99900817871094,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,9.084478378295898,152.4065839969684,1.0,0.0,0.0,21.911913149629996,3.5311293601989746,-21.625518798828125,-463.6367492675781,15.564827919006348,-134.8978729248047,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,7.456220626831055,125.81532621277422,1.0,0.0,0.0,1235.291491455423,1195.0523681640625,312.7217712402344,-470.1127624511719,15.882832527160645,-175.99305725097656,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,19.14929962158203,88.27916378947488,1.0,0.0,0.0,4.389869871537698,-3.853590488433838,-2.102569341659546,-410.17132568359375,9.634614944458008,179.4519805908203,0.023000000044703484
vehicle.audi.a2,vehicle1,22.255386352539062,68.50189168684976,1.0,0.0,0.0,2.892452780098821,2.8924527168273926,0.0006049952353350818,-358.72589111328125,26.90250587463379,0.00410985155031085,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.23556900024414,168.65852965231147,1.0,0.0,0.0,3.620811723479571,3.6208109855651855,-0.002311643911525607,-279.41705322265625,37.38577651977539,-0.010894775390625,0.023000000044703484
vehicle.audi.etron,vehicle3,30.038583755493164,133.15843757341045,1.0,0.0,0.0,2.08788323617509,-2.087883234024048,-9.4774724857416e-05,-428.7615966796875,5.404417514801025,179.99905395507812,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,8.56696605682373,152.60362421665832,1.0,0.0,0.0,22.563800018228548,5.743674278259277,-21.820524215698242,-463.6953430175781,15.773700714111328,-131.12826538085938,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,5.954930305480957,125.95228961006649,1.0,0.0,0.0,55.65155100492664,1.6348413228988647,-55.627532958984375,-470.1397399902344,16.060306549072266,-172.0788116455078,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,19.23613929748535,88.72159499417697,1.0,0.0,0.0,4.597727549042707,-3.842395305633545,-2.524895429611206,-410.6129455566406,9.645455360412598,179.73434448242188,0.023000000044703484
vehicle.audi.a2,vehicle1,22.320905685424805,69.01527251861235,1.0,0.0,0.0,2.847754485796985,2.84775447845459,0.00020449615840334445,-358.2125549316406,26.902545928955078,0.004155205097049475,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.31884765625,169.63186315029702,1.0,0.0,0.0,3.6140117766430704,3.61401104927063,-0.002292916178703308,-278.44482421875,37.38560104370117,-0.010894775390625,0.023000000044703484
vehicle.audi.etron,vehicle3,30.08645248413086,133.85042598189042,1.0,0.0,0.0,2.0812490008269178,-2.0812489986419678,-9.536692232359201e-05,-429.4532470703125,5.404430389404297,179.99905395507812,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,8.024860382080078,152.7881960058049,1.0,0.0,0.0,23.74499496534841,7.455338478088379,-22.544239044189453,-463.7502136230469,15.969449043273926,-127.49150085449219,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,4.813616752624512,126.06300279559204,1.0,0.0,0.0,49.15069439631439,4.82542610168457,-48.91324996948242,-470.16925048828125,16.214563369750977,-167.87037658691406,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,19.322772979736328,89.1660187735747,1.0,0.0,0.0,4.7026399909617576,-3.8295414447784424,-2.729365348815918,-411.056640625,9.654939651489258,179.96131896972656,0.023000000044703484
vehicle.audi.a2,vehicle1,22.385387420654297,69.53013643028811,1.0,0.0,0.0,2.801480570163368,2.801480531692505,0.000464274431578815,-357.6978759765625,26.902584075927734,0.004198983311653137,0.023000000044703484
