actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step,time
vehicle.audi.a2,vehicle1,2.7007739543914795,0.46130126908674435,0.6000000238418579,0.0,0.0,0.16679334659654338,-0.1667933464050293,7.992905921128113e-06,-426.39996337890625,26.899999618530273,0.0,0.023000000044703484,1.8860000036656857
vehicle.tesla.model3,vehicle2,2.56714129447937,0.458227717902792,1.0,0.0,0.0,0.0006250437365097223,-4.4641354179475456e-05,-0.0006234475295059383,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,1.9090000037103891
vehicle.audi.etron,vehicle3,2.9302008152008057,0.46657808689561503,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,1.9320000037550926
vehicle.tesla.cybertruck,vehicle4,2.9302008152008057,0.46657808689561503,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,1.955000003799796
vehicle.dodge.charger_police,vehicle5,2.9302008152008057,0.46657808689561503,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,1.9780000038444996
vehicle.ford.mustang,vehicle6,2.9302008152008057,0.46657808689561503,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,2.001000003889203
vehicle.audi.tt,vehicle7,2.9302008152008057,0.46657808689561503,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,2.0240000039339066
vehicle.mercedes.coupe_2020,vehicle0,1.7638835906982422,0.5000559223774774,1.0,0.0,0.0,4.203582775439298e-06,9.39755864237668e-08,-4.202532181807328e-06,-426.5,30.399999618530273,0.0,0.023000000044703484,2.04700000397861
vehicle.audi.a2,vehicle1,2.004807710647583,0.5074118465212607,0.6000000238418579,0.0,0.0,0.042731074197578,0.04273107275366783,-1.110854009311879e-05,-426.39984130859375,26.899999618530273,0.0,0.023000000044703484,2.0700000040233135
vehicle.tesla.model3,vehicle2,1.7245957851409912,0.4978934210381302,1.0,0.0,0.0,0.0002690508622365447,2.035617217188701e-05,0.0002682796912267804,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,2.093000004068017
vehicle.audi.etron,vehicle3,3.1556007862091064,0.5391569051194909,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,2.1160000041127205
vehicle.tesla.cybertruck,vehicle4,3.1556007862091064,0.5391569051194909,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,2.139000004157424
vehicle.dodge.charger_police,vehicle5,3.1556007862091064,0.5391569051194909,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,2.1620000042021275
vehicle.ford.mustang,vehicle6,3.1556007862091064,0.5391569051194909,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,2.185000004246831
vehicle.audi.tt,vehicle7,3.1556007862091064,0.5391569051194909,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,2.2080000042915344
vehicle.mercedes.coupe_2020,vehicle0,1.1396650075912476,0.5262682176030231,1.0,0.0,0.0,2.769546313153963e-06,2.853434288851986e-08,-2.769399316093768e-06,-426.5,30.399999618530273,0.0,0.023000000044703484,2.231000004336238
vehicle.audi.a2,vehicle1,1.433010458946228,0.5403710871410845,0.6000000238418579,0.0,0.0,0.0364637798794594,0.03646377846598625,-1.0152888535230886e-05,-426.39971923828125,26.899999618530273,0.0,0.023000000044703484,2.2540000043809414
vehicle.tesla.model3,vehicle2,1.111899495124817,0.5234671094757068,1.0,0.0,0.0,0.00020384312869999572,9.015838259074371e-06,0.0002036436490016058,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,2.277000004425645
vehicle.audi.etron,vehicle3,3.3810009956359863,0.6169199281702611,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,2.3000000044703484
vehicle.tesla.cybertruck,vehicle4,3.3810009956359863,0.6169199281702611,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,2.323000004515052
vehicle.dodge.charger_police,vehicle5,3.3810009956359863,0.6169199281702611,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,2.3460000045597553
vehicle.ford.mustang,vehicle6,3.3810009956359863,0.6169199281702611,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,2.369000004604459
vehicle.audi.tt,vehicle7,3.3810009956359863,0.6169199281702611,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,2.3920000046491623
vehicle.mercedes.coupe_2020,vehicle0,0.6909191608428955,0.5421593583332962,1.0,0.0,0.0,5.036219728608432e-07,-7.136753055192457e-08,-4.985396344636683e-07,-426.5,30.399999618530273,0.0,0.023000000044703484,2.4150000046938658
vehicle.audi.a2,vehicle1,0.9706416726112366,0.562695845654534,0.6000000238418579,0.0,0.0,0.02778850321933213,0.027788503095507622,2.623317641337053e-06,-426.3996276855469,26.899999618530273,0.0,0.023000000044703484,2.4380000047385693
vehicle.tesla.model3,vehicle2,0.6716867089271545,0.5389159038110581,1.0,0.0,0.0,8.484927945241339e-05,6.685460448352387e-06,8.458548836642876e-05,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,2.4610000047832727
vehicle.audi.etron,vehicle3,3.606400966644287,0.6998671505642984,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,2.4840000048279762
vehicle.tesla.cybertruck,vehicle4,3.606400966644287,0.6998671505642984,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,2.5070000048726797
vehicle.dodge.charger_police,vehicle5,3.606400966644287,0.6998671505642984,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,2.530000004917383
